rank;rank move;form;h2h;win condition;False Positives Train;False Negatives Train;Accuracy Train;False Positives Test;False Negatives Test;Accuracy Test
yes;no;no;no;no;0.1806474;0.1786932;0.6406594;0.1806157;0.1784803;0.6409039
yes;yes;no;no;no;0.1809911;0.1779081;0.6411009;0.1810817;0.1779368;0.6409816
yes;yes;yes;no;no;0.1836456;0.1822694;0.634085;0.1836959;0.1824018;0.6339023
yes;yes;yes;yes;no;0.1822234;0.1804691;0.6373075;0.1824147;0.1804346;0.6371507
yes;yes;yes;yes;yes;0.1779253;0.176693;0.6453817;0.1780404;0.176565;0.6453947
yes;yes;yes;no;yes;0.1780188;0.1777758;0.6442055;0.1780145;0.1778721;0.6441134
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
